VEL,D20140322,X,Y,LON,LAT,Downslope ,Local Upsl,Upslope Cu,Local Curv,Minimal Cu,Cross-Sect,Tangential,Plan Curva,Flow Line ,Aspect,General Cu,Total Curv,Slope,Maximal Cu,Longitudin,Profile Cu,Local Down,cat,twi,TRI,tpi,spi,dem_randaz,curvature,ELEVATION,COHERENCE
-1.6,-8,497039.486,4193359.229,14.9663314,37.88773131,-0.1288,-0.01106,-0.00742,-0.13062,-0.00417,0.00101,0.00051,0.0029,-0.00004,6.27238,-0.0052,0.00001,0.17733,0.00157,-0.00621,-0.00298,-0.20431,66.17819,11.03796,4.67181,-3.12072,-90.86111,661.697,-0.0052,706.2,0.75
0.2,-4.2,497145.1559,4193378.42,14.96753306,37.88790462,-0.04793,0.0224,0.04516,-0.01435,-0.00128,0.00088,0.00089,0.00828,-0.00001,5.82765,-0.00044,0,0.10714,0.00106,-0.00132,-0.00109,-0.08611,66.1335,3.25159,2.72953,-0.72213,159.11441,661.345,-0.00044,712.7,0.69
0.1,-4.3,497146.336,4193378.635,14.96754648,37.88790656,-0.04223,0.04123,0.0683,-0.00608,-0.00066,0.00053,0.00046,0.00405,0,5.87391,-0.00023,0,0.11411,0.00054,-0.00076,-0.00057,-0.06974,66.18034,11.038,2.8748,-0.08637,-194.94513,661.803,-0.00023,712.1,0.68
-2.3,-8.3,497027.027,4193359.061,14.96618971,37.88772976,-0.1246,-0.0287,-0.02804,-0.12251,-0.0035,0.00022,0.00016,0.00101,-0.00003,6.23842,-0.00498,0.00001,0.16367,0.00101,-0.00519,-0.00255,-0.19588,66.17135,3.92147,4.32318,-3.36506,81.52267,661.632,-0.00498,707.8,0.77
-1.8,-5.3,497027.9161,4193359.224,14.96619982,37.88773123,-0.1246,-0.0287,-0.02804,-0.12251,-0.0035,0.00022,0.00016,0.00101,-0.00003,6.23842,-0.00498,0.00001,0.16367,0.00101,-0.00519,-0.00255,-0.19588,66.17135,3.92147,4.32318,-3.36506,81.52267,661.632,-0.00498,707,0.7
1.6,3.1,497079.5437,4193368.607,14.96678692,37.88781597,-0.11438,-0.14013,-0.05018,-0.17604,-0.005,0.00019,0.00002,0.00018,0.00001,6.18137,-0.00763,0.00002,0.109,0.00118,-0.00782,-0.00377,-0.10864,66.04066,3.26203,2.71009,-3.25148,157.01938,660.259,-0.00763,705.8,0.69
0.9,-2.7,496980.9058,4193352.777,14.96566522,37.88767297,-0.04598,-0.01563,-0.02591,0.00242,-0.00108,0.00004,-0.00016,-0.00129,-0.00002,0.17786,0.00009,0,0.12773,0.00112,0.00005,0.00021,-0.01796,66.38873,5.33806,3.14335,-2.62457,19.90273,663.9,0.00009,708.7,0.83
0.3,-2.6,496982.027,4193352.982,14.96567797,37.88767482,-0.04598,-0.01563,-0.02591,0.00242,-0.00108,0.00004,-0.00016,-0.00129,-0.00002,0.17786,0.00009,0,0.12773,0.00112,0.00005,0.00021,-0.01796,66.38873,5.33806,3.14335,-2.62457,19.90273,663.9,0.00009,708.1,0.81
1.7,-3,497069.5514,4193368.891,14.96667328,37.88781849,-0.13406,-0.17873,-0.0658,-0.22772,-0.00545,-0.00059,-0.00028,-0.00255,0,6.1874,-0.00967,0.00002,0.10944,0.00062,-0.00908,-0.00447,-0.11736,66.0274,2.02836,2.87167,-3.56419,538.95862,660.087,-0.00967,706.2,0.74
2.5,0.5,497075.3719,4193369.949,14.96673947,37.88782805,-0.13406,-0.17873,-0.0658,-0.22772,-0.00545,-0.00059,-0.00028,-0.00255,0,6.1874,-0.00967,0.00002,0.10944,0.00062,-0.00908,-0.00447,-0.11736,66.0274,2.02836,2.87167,-3.56419,538.95862,660.087,-0.00967,706,0.68
